#{"t_start": 1584991326.8030136, "env_id": "RoboschoolPong-v1"}
r,l,t,score_board
-348.45532,75000,166.986123,"{'left': {'oppo_miss_start': 369, 'oppo_slow_ball': 2, 'oppo_miss_catch': 78, 'oppo_double_hit': 1, 'not_finish': 0}, 'right': {'oppo_miss_start': 373, 'oppo_slow_ball': 3, 'oppo_miss_catch': 54, 'oppo_double_hit': 1}}"
-358.45532,76000,169.187968,"{'left': {'oppo_miss_start': 380, 'oppo_slow_ball': 2, 'oppo_miss_catch': 78, 'oppo_double_hit': 1, 'not_finish': 0}, 'right': {'oppo_miss_start': 383, 'oppo_slow_ball': 3, 'oppo_miss_catch': 54, 'oppo_double_hit': 1}}"
-362.453115,77000,171.397035,"{'left': {'oppo_miss_start': 384, 'oppo_slow_ball': 2, 'oppo_miss_catch': 78, 'oppo_double_hit': 1, 'not_finish': 0}, 'right': {'oppo_miss_start': 387, 'oppo_slow_ball': 3, 'oppo_miss_catch': 54, 'oppo_double_hit': 1}}"
-367.441444,78000,173.637875,"{'left': {'oppo_miss_start': 389, 'oppo_slow_ball': 2, 'oppo_miss_catch': 79, 'oppo_double_hit': 1, 'not_finish': 0}, 'right': {'oppo_miss_start': 393, 'oppo_slow_ball': 3, 'oppo_miss_catch': 54, 'oppo_double_hit': 1}}"
-374.384744,79000,175.870585,"{'left': {'oppo_miss_start': 397, 'oppo_slow_ball': 2, 'oppo_miss_catch': 81, 'oppo_double_hit': 1, 'not_finish': 0}, 'right': {'oppo_miss_start': 401, 'oppo_slow_ball': 3, 'oppo_miss_catch': 55, 'oppo_double_hit': 1}}"
-376.381427,80000,178.081898,"{'left': {'oppo_miss_start': 400, 'oppo_slow_ball': 2, 'oppo_miss_catch': 81, 'oppo_double_hit': 1, 'not_finish': 0}, 'right': {'oppo_miss_start': 403, 'oppo_slow_ball': 3, 'oppo_miss_catch': 55, 'oppo_double_hit': 1}}"
-376.381427,81000,180.272251,"{'left': {'oppo_miss_start': 400, 'oppo_slow_ball': 3, 'oppo_miss_catch': 81, 'oppo_double_hit': 1, 'not_finish': 0}, 'right': {'oppo_miss_start': 404, 'oppo_slow_ball': 3, 'oppo_miss_catch': 55, 'oppo_double_hit': 1}}"
-381.345019,82000,182.461842,"{'left': {'oppo_miss_start': 407, 'oppo_slow_ball': 3, 'oppo_miss_catch': 83, 'oppo_double_hit': 1, 'not_finish': 0}, 'right': {'oppo_miss_start': 411, 'oppo_slow_ball': 3, 'oppo_miss_catch': 55, 'oppo_double_hit': 1}}"
-385.320578,83000,184.65743,"{'left': {'oppo_miss_start': 412, 'oppo_slow_ball': 3, 'oppo_miss_catch': 84, 'oppo_double_hit': 1, 'not_finish': 0}, 'right': {'oppo_miss_start': 415, 'oppo_slow_ball': 3, 'oppo_miss_catch': 56, 'oppo_double_hit': 1}}"
-387.29474,84000,186.954611,"{'left': {'oppo_miss_start': 417, 'oppo_slow_ball': 3, 'oppo_miss_catch': 87, 'oppo_double_hit': 1, 'not_finish': 0}, 'right': {'oppo_miss_start': 420, 'oppo_slow_ball': 3, 'oppo_miss_catch': 56, 'oppo_double_hit': 1}}"
-391.276336,85000,189.192752,"{'left': {'oppo_miss_start': 423, 'oppo_slow_ball': 3, 'oppo_miss_catch': 89, 'oppo_double_hit': 1, 'not_finish': 0}, 'right': {'oppo_miss_start': 426, 'oppo_slow_ball': 3, 'oppo_miss_catch': 56, 'oppo_double_hit': 1}}"
-396.240599,86000,191.650157,"{'left': {'oppo_miss_start': 429, 'oppo_slow_ball': 3, 'oppo_miss_catch': 90, 'oppo_double_hit': 1, 'not_finish': 0}, 'right': {'oppo_miss_start': 431, 'oppo_slow_ball': 3, 'oppo_miss_catch': 57, 'oppo_double_hit': 1}}"
-403.219395,87000,193.882032,"{'left': {'oppo_miss_start': 435, 'oppo_slow_ball': 3, 'oppo_miss_catch': 91, 'oppo_double_hit': 1, 'not_finish': 0}, 'right': {'oppo_miss_start': 438, 'oppo_slow_ball': 3, 'oppo_miss_catch': 58, 'oppo_double_hit': 1}}"
-413.219395,88000,196.087773,"{'left': {'oppo_miss_start': 444, 'oppo_slow_ball': 3, 'oppo_miss_catch': 91, 'oppo_double_hit': 1, 'not_finish': 0}, 'right': {'oppo_miss_start': 447, 'oppo_slow_ball': 3, 'oppo_miss_catch': 59, 'oppo_double_hit': 1}}"
-421.218692,89000,198.361024,"{'left': {'oppo_miss_start': 453, 'oppo_slow_ball': 3, 'oppo_miss_catch': 91, 'oppo_double_hit': 1, 'not_finish': 0}, 'right': {'oppo_miss_start': 455, 'oppo_slow_ball': 3, 'oppo_miss_catch': 59, 'oppo_double_hit': 1}}"
-424.155462,90000,200.552777,"{'left': {'oppo_miss_start': 457, 'oppo_slow_ball': 3, 'oppo_miss_catch': 93, 'oppo_double_hit': 1, 'not_finish': 0}, 'right': {'oppo_miss_start': 459, 'oppo_slow_ball': 3, 'oppo_miss_catch': 60, 'oppo_double_hit': 1}}"
