#{"t_start": 1584991336.8098323, "env_id": "RoboschoolPong-v1"}
r,l,t,score_board
-303.847898,60000,132.342711,"{'left': {'oppo_miss_start': 300, 'oppo_slow_ball': 2, 'oppo_miss_catch': 55, 'oppo_double_hit': 3, 'not_finish': 0}, 'right': {'oppo_miss_start': 307, 'oppo_slow_ball': 2, 'oppo_miss_catch': 56, 'oppo_double_hit': 0}}"
-302.741421,61000,134.566719,"{'left': {'oppo_miss_start': 302, 'oppo_slow_ball': 2, 'oppo_miss_catch': 58, 'oppo_double_hit': 3, 'not_finish': 0}, 'right': {'oppo_miss_start': 308, 'oppo_slow_ball': 2, 'oppo_miss_catch': 57, 'oppo_double_hit': 0}}"
-309.729416,62000,136.845565,"{'left': {'oppo_miss_start': 308, 'oppo_slow_ball': 2, 'oppo_miss_catch': 59, 'oppo_double_hit': 3, 'not_finish': 0}, 'right': {'oppo_miss_start': 314, 'oppo_slow_ball': 2, 'oppo_miss_catch': 59, 'oppo_double_hit': 0}}"
-319.729416,63000,139.036307,"{'left': {'oppo_miss_start': 318, 'oppo_slow_ball': 2, 'oppo_miss_catch': 59, 'oppo_double_hit': 3, 'not_finish': 0}, 'right': {'oppo_miss_start': 324, 'oppo_slow_ball': 2, 'oppo_miss_catch': 59, 'oppo_double_hit': 0}}"
-327.72474,64000,141.267532,"{'left': {'oppo_miss_start': 326, 'oppo_slow_ball': 2, 'oppo_miss_catch': 59, 'oppo_double_hit': 3, 'not_finish': 0}, 'right': {'oppo_miss_start': 332, 'oppo_slow_ball': 2, 'oppo_miss_catch': 59, 'oppo_double_hit': 0}}"
-332.710327,65000,143.532189,"{'left': {'oppo_miss_start': 331, 'oppo_slow_ball': 2, 'oppo_miss_catch': 60, 'oppo_double_hit': 3, 'not_finish': 0}, 'right': {'oppo_miss_start': 337, 'oppo_slow_ball': 2, 'oppo_miss_catch': 60, 'oppo_double_hit': 0}}"
-342.710327,66000,145.701581,"{'left': {'oppo_miss_start': 338, 'oppo_slow_ball': 2, 'oppo_miss_catch': 60, 'oppo_double_hit': 3, 'not_finish': 0}, 'right': {'oppo_miss_start': 344, 'oppo_slow_ball': 2, 'oppo_miss_catch': 63, 'oppo_double_hit': 0}}"
-350.692554,67000,147.942368,"{'left': {'oppo_miss_start': 344, 'oppo_slow_ball': 2, 'oppo_miss_catch': 60, 'oppo_double_hit': 3, 'not_finish': 0}, 'right': {'oppo_miss_start': 350, 'oppo_slow_ball': 2, 'oppo_miss_catch': 65, 'oppo_double_hit': 0}}"
-351.676299,68000,150.143719,"{'left': {'oppo_miss_start': 348, 'oppo_slow_ball': 2, 'oppo_miss_catch': 63, 'oppo_double_hit': 3, 'not_finish': 0}, 'right': {'oppo_miss_start': 354, 'oppo_slow_ball': 2, 'oppo_miss_catch': 65, 'oppo_double_hit': 0}}"
-361.676299,69000,152.442596,"{'left': {'oppo_miss_start': 356, 'oppo_slow_ball': 2, 'oppo_miss_catch': 63, 'oppo_double_hit': 3, 'not_finish': 0}, 'right': {'oppo_miss_start': 362, 'oppo_slow_ball': 2, 'oppo_miss_catch': 67, 'oppo_double_hit': 0}}"
-371.676299,70000,154.686328,"{'left': {'oppo_miss_start': 366, 'oppo_slow_ball': 2, 'oppo_miss_catch': 63, 'oppo_double_hit': 3, 'not_finish': 0}, 'right': {'oppo_miss_start': 372, 'oppo_slow_ball': 2, 'oppo_miss_catch': 67, 'oppo_double_hit': 0}}"
-380.674788,71000,156.966713,"{'left': {'oppo_miss_start': 374, 'oppo_slow_ball': 2, 'oppo_miss_catch': 63, 'oppo_double_hit': 3, 'not_finish': 0}, 'right': {'oppo_miss_start': 380, 'oppo_slow_ball': 2, 'oppo_miss_catch': 68, 'oppo_double_hit': 0}}"
-381.674788,72000,159.156801,"{'left': {'oppo_miss_start': 374, 'oppo_slow_ball': 2, 'oppo_miss_catch': 63, 'oppo_double_hit': 3, 'not_finish': 0}, 'right': {'oppo_miss_start': 380, 'oppo_slow_ball': 3, 'oppo_miss_catch': 68, 'oppo_double_hit': 0}}"
-390.674788,73000,161.367916,"{'left': {'oppo_miss_start': 381, 'oppo_slow_ball': 2, 'oppo_miss_catch': 63, 'oppo_double_hit': 3, 'not_finish': 0}, 'right': {'oppo_miss_start': 387, 'oppo_slow_ball': 3, 'oppo_miss_catch': 70, 'oppo_double_hit': 0}}"
-397.674788,74000,163.616817,"{'left': {'oppo_miss_start': 384, 'oppo_slow_ball': 2, 'oppo_miss_catch': 63, 'oppo_double_hit': 3, 'not_finish': 0}, 'right': {'oppo_miss_start': 390, 'oppo_slow_ball': 3, 'oppo_miss_catch': 74, 'oppo_double_hit': 0}}"
-399.657966,75000,165.840755,"{'left': {'oppo_miss_start': 387, 'oppo_slow_ball': 2, 'oppo_miss_catch': 64, 'oppo_double_hit': 3, 'not_finish': 0}, 'right': {'oppo_miss_start': 393, 'oppo_slow_ball': 3, 'oppo_miss_catch': 74, 'oppo_double_hit': 0}}"
-399.655917,76000,168.06512,"{'left': {'oppo_miss_start': 387, 'oppo_slow_ball': 2, 'oppo_miss_catch': 64, 'oppo_double_hit': 3, 'not_finish': 0}, 'right': {'oppo_miss_start': 393, 'oppo_slow_ball': 3, 'oppo_miss_catch': 74, 'oppo_double_hit': 0}}"
-401.615175,77000,170.245076,"{'left': {'oppo_miss_start': 387, 'oppo_slow_ball': 2, 'oppo_miss_catch': 64, 'oppo_double_hit': 3, 'not_finish': 0}, 'right': {'oppo_miss_start': 393, 'oppo_slow_ball': 4, 'oppo_miss_catch': 75, 'oppo_double_hit': 0}}"
