#{"t_start": 1573703793.0821815, "env_id": "RoboschoolPong-v1"}
r,l,t,score_board
-403.784517,61000,162.827596,"{'left': {'oppo_miss_start': 368, 'oppo_slow_ball': 1, 'oppo_miss_catch': 61, 'oppo_double_hit': 0, 'not_finish': 0}, 'right': {'oppo_miss_start': 381, 'oppo_slow_ball': 3, 'oppo_miss_catch': 83, 'oppo_double_hit': 0}}"
-407.710388,62000,165.321542,"{'left': {'oppo_miss_start': 373, 'oppo_slow_ball': 1, 'oppo_miss_catch': 63, 'oppo_double_hit': 0, 'not_finish': 0}, 'right': {'oppo_miss_start': 387, 'oppo_slow_ball': 3, 'oppo_miss_catch': 83, 'oppo_double_hit': 0}}"
-418.710388,63000,167.821159,"{'left': {'oppo_miss_start': 382, 'oppo_slow_ball': 1, 'oppo_miss_catch': 63, 'oppo_double_hit': 0, 'not_finish': 0}, 'right': {'oppo_miss_start': 396, 'oppo_slow_ball': 3, 'oppo_miss_catch': 85, 'oppo_double_hit': 0}}"
-429.710388,64000,170.314039,"{'left': {'oppo_miss_start': 392, 'oppo_slow_ball': 1, 'oppo_miss_catch': 63, 'oppo_double_hit': 0, 'not_finish': 0}, 'right': {'oppo_miss_start': 406, 'oppo_slow_ball': 3, 'oppo_miss_catch': 86, 'oppo_double_hit': 0}}"
-438.670462,65000,172.838573,"{'left': {'oppo_miss_start': 397, 'oppo_slow_ball': 1, 'oppo_miss_catch': 64, 'oppo_double_hit': 0, 'not_finish': 0}, 'right': {'oppo_miss_start': 412, 'oppo_slow_ball': 3, 'oppo_miss_catch': 90, 'oppo_double_hit': 0}}"
-446.649658,66000,175.349571,"{'left': {'oppo_miss_start': 405, 'oppo_slow_ball': 1, 'oppo_miss_catch': 65, 'oppo_double_hit': 0, 'not_finish': 0}, 'right': {'oppo_miss_start': 420, 'oppo_slow_ball': 3, 'oppo_miss_catch': 91, 'oppo_double_hit': 0}}"
-452.593893,67000,177.829123,"{'left': {'oppo_miss_start': 411, 'oppo_slow_ball': 1, 'oppo_miss_catch': 67, 'oppo_double_hit': 0, 'not_finish': 0}, 'right': {'oppo_miss_start': 427, 'oppo_slow_ball': 3, 'oppo_miss_catch': 92, 'oppo_double_hit': 0}}"
-463.593893,68000,180.306964,"{'left': {'oppo_miss_start': 421, 'oppo_slow_ball': 1, 'oppo_miss_catch': 67, 'oppo_double_hit': 0, 'not_finish': 0}, 'right': {'oppo_miss_start': 437, 'oppo_slow_ball': 3, 'oppo_miss_catch': 93, 'oppo_double_hit': 0}}"
-468.549609,69000,182.806471,"{'left': {'oppo_miss_start': 428, 'oppo_slow_ball': 1, 'oppo_miss_catch': 69, 'oppo_double_hit': 0, 'not_finish': 0}, 'right': {'oppo_miss_start': 444, 'oppo_slow_ball': 3, 'oppo_miss_catch': 93, 'oppo_double_hit': 0}}"
-479.549609,70000,185.322617,"{'left': {'oppo_miss_start': 438, 'oppo_slow_ball': 1, 'oppo_miss_catch': 69, 'oppo_double_hit': 0, 'not_finish': 0}, 'right': {'oppo_miss_start': 454, 'oppo_slow_ball': 3, 'oppo_miss_catch': 94, 'oppo_double_hit': 0}}"
-483.496885,71000,187.830702,"{'left': {'oppo_miss_start': 443, 'oppo_slow_ball': 1, 'oppo_miss_catch': 71, 'oppo_double_hit': 0, 'not_finish': 0}, 'right': {'oppo_miss_start': 460, 'oppo_slow_ball': 3, 'oppo_miss_catch': 94, 'oppo_double_hit': 0}}"
-488.457357,72000,190.322351,"{'left': {'oppo_miss_start': 450, 'oppo_slow_ball': 1, 'oppo_miss_catch': 73, 'oppo_double_hit': 0, 'not_finish': 0}, 'right': {'oppo_miss_start': 466, 'oppo_slow_ball': 3, 'oppo_miss_catch': 95, 'oppo_double_hit': 0}}"
-495.449212,73000,192.848175,"{'left': {'oppo_miss_start': 456, 'oppo_slow_ball': 1, 'oppo_miss_catch': 74, 'oppo_double_hit': 0, 'not_finish': 0}, 'right': {'oppo_miss_start': 472, 'oppo_slow_ball': 3, 'oppo_miss_catch': 97, 'oppo_double_hit': 0}}"
-500.421058,74000,195.357114,"{'left': {'oppo_miss_start': 461, 'oppo_slow_ball': 1, 'oppo_miss_catch': 76, 'oppo_double_hit': 0, 'not_finish': 0}, 'right': {'oppo_miss_start': 477, 'oppo_slow_ball': 3, 'oppo_miss_catch': 99, 'oppo_double_hit': 0}}"
-508.404861,75000,197.857934,"{'left': {'oppo_miss_start': 468, 'oppo_slow_ball': 1, 'oppo_miss_catch': 77, 'oppo_double_hit': 0, 'not_finish': 0}, 'right': {'oppo_miss_start': 485, 'oppo_slow_ball': 3, 'oppo_miss_catch': 100, 'oppo_double_hit': 0}}"
-517.393206,76000,200.339903,"{'left': {'oppo_miss_start': 477, 'oppo_slow_ball': 1, 'oppo_miss_catch': 77, 'oppo_double_hit': 0, 'not_finish': 0}, 'right': {'oppo_miss_start': 493, 'oppo_slow_ball': 3, 'oppo_miss_catch': 101, 'oppo_double_hit': 0}}"
-523.357284,77000,202.855084,"{'left': {'oppo_miss_start': 483, 'oppo_slow_ball': 1, 'oppo_miss_catch': 79, 'oppo_double_hit': 0, 'not_finish': 0}, 'right': {'oppo_miss_start': 500, 'oppo_slow_ball': 3, 'oppo_miss_catch': 102, 'oppo_double_hit': 0}}"
-526.339679,78000,205.331393,"{'left': {'oppo_miss_start': 488, 'oppo_slow_ball': 1, 'oppo_miss_catch': 81, 'oppo_double_hit': 0, 'not_finish': 0}, 'right': {'oppo_miss_start': 505, 'oppo_slow_ball': 3, 'oppo_miss_catch': 102, 'oppo_double_hit': 0}}"
-530.318955,79000,207.833535,"{'left': {'oppo_miss_start': 491, 'oppo_slow_ball': 1, 'oppo_miss_catch': 83, 'oppo_double_hit': 0, 'not_finish': 0}, 'right': {'oppo_miss_start': 509, 'oppo_slow_ball': 3, 'oppo_miss_catch': 104, 'oppo_double_hit': 0}}"
-533.250483,80000,210.317352,"{'left': {'oppo_miss_start': 493, 'oppo_slow_ball': 1, 'oppo_miss_catch': 85, 'oppo_double_hit': 0, 'not_finish': 0}, 'right': {'oppo_miss_start': 512, 'oppo_slow_ball': 3, 'oppo_miss_catch': 106, 'oppo_double_hit': 0}}"
-538.193576,81000,212.837872,"{'left': {'oppo_miss_start': 499, 'oppo_slow_ball': 1, 'oppo_miss_catch': 87, 'oppo_double_hit': 0, 'not_finish': 0}, 'right': {'oppo_miss_start': 518, 'oppo_slow_ball': 3, 'oppo_miss_catch': 107, 'oppo_double_hit': 0}}"
